"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-02-01 04:30:00.0","5","0","0","8","28","0","0","0"
"1998-02-01 04:40:00.0","0","0","0","17","33","0","0","0"
"1998-02-01 04:50:00.0","0","0","0","8","23","0","0","0"
"1998-02-01 05:00:00.0","0","0","0","17","33","0","0","0"
"1998-02-01 05:10:00.0","5","0","0","8","30","0","0","0"
"1998-02-01 05:20:00.0","0","0","0","18","33","0","0","0"
"1998-02-01 05:30:00.0","4","0","0","8","28","0","0","0"
"1998-02-01 05:40:00.0","19","0","0","15","48","0","0","0"
"1998-02-01 05:50:00.0","24","0","0","10","48","0","0","0"
"1998-02-01 06:00:00.0","17","0","0","13","44","0","0","0"
"1998-02-01 06:10:00.0","17","0","0","13","44","0","0","0"
"1998-02-01 06:20:00.0","20","0","0","10","43","0","0","0"
"1998-02-01 06:30:00.0","4","0","0","16","36","0","0","0"
"1998-02-01 06:40:00.0","0","0","0","8","23","0","0","0"
"1998-02-01 06:50:00.0","0","0","0","17","34","0","0","0"
"1998-02-01 07:00:00.0","6","0","0","8","29","0","0","0"
"1998-02-01 07:10:00.0","0","0","43","18","85","2","0","0"
"1998-02-01 07:20:00.0","1","0","0","7","42","0","0","0"
"1998-02-01 07:30:00.0","7","0","0","18","54","14","0","0"
"1998-02-01 07:40:00.0","0","0","0","7","41","7","0","0"
"1998-02-01 07:50:00.0","0","0","0","17","54","0","0","0"
"1998-02-01 08:00:00.0","5","0","0","8","44","0","0","0"
"1998-02-01 08:10:00.0","0","0","0","14","30","0","0","0"
"1998-02-01 08:20:00.0","0","0","0","11","28","1","0","0"
"1998-02-01 08:30:00.0","0","0","0","15","31","0","0","0"
"1998-02-01 08:40:00.0","5","0","0","11","32","1","0","0"
"1998-02-01 08:50:00.0","0","0","0","15","51","16","0","0"
"1998-02-01 09:00:00.0","1","0","11","9","38","1","0","0"
"1998-02-01 09:10:00.0","25","0","0","15","50","0","0","0"
"1998-02-01 09:20:00.0","18","0","0","8","43","4","0","0"
"1998-02-01 09:30:00.0","17","0","0","16","66","21","0","0"
"1998-02-01 09:40:00.0","21","0","17","8","71","12","0","0"
"1998-02-01 09:50:00.0","18","0","0","16","50","4","0","0"
"1998-02-01 10:00:00.0","3","0","0","19","36","1","0","0"
"1998-02-01 10:10:00.0","1","0","0","17","33","0","0","0"
"1998-02-01 10:20:00.0","4","0","0","8","27","0","0","0"
"1998-02-01 10:30:00.0","0","0","0","17","30","0","0","0"
"1998-02-01 10:40:00.0","0","0","0","15","30","0","0","0"
"1998-02-01 10:50:00.0","6","0","0","8","27","0","0","0"
"1998-02-01 11:00:00.0","0","0","0","16","28","0","0","0"
"1998-02-01 11:10:00.0","0","0","0","7","22","0","0","0"
"1998-02-01 11:20:00.0","3","0","0","16","34","0","0","0"
