"Time","Clothes drier (without condenser) ()","Dish washer (12 place setting)","Microwave oven ()","Site consumption ()","Total site light consumption ()","Washing machine ()","Water heater ()"
"1998-01-29 10:10:00.0","213","0","0","342","1","47","0"
"1998-01-29 10:20:00.0","215","0","0","304","8","46","0"
"1998-01-29 10:30:00.0","253","0","0","321","15","0","0"
"1998-01-29 10:40:00.0","222","0","0","265","21","0","0"
"1998-01-29 10:50:00.0","213","0","0","256","17","0","0"
"1998-01-29 11:00:00.0","213","0","0","254","17","0","0"
"1998-01-29 11:10:00.0","214","0","0","257","7","0","0"
"1998-01-29 11:20:00.0","214","0","0","256","0","0","0"
"1998-01-29 11:30:00.0","252","0","0","304","0","0","0"
"1998-01-29 11:40:00.0","29","0","0","95","13","0","0"
"1998-01-29 11:50:00.0","6","0","0","85","34","0","0"
"1998-01-29 12:00:00.0","111","0","0","411","47","0","0"
"1998-01-29 12:10:00.0","208","0","0","566","51","0","0"
"1998-01-29 12:20:00.0","209","0","14","292","45","0","0"
"1998-01-29 12:30:00.0","249","0","3","334","55","0","0"
"1998-01-29 12:40:00.0","215","0","0","301","55","0","0"
"1998-01-29 12:50:00.0","208","0","0","417","56","103","0"
"1998-01-29 13:00:00.0","12","0","0","469","45","353","0"
"1998-01-29 13:10:00.0","51","0","0","463","27","350","0"
"1998-01-29 13:20:00.0","209","0","0","591","0","351","0"
"1998-01-29 13:30:00.0","206","0","0","585","0","348","0"
"1998-01-29 13:40:00.0","206","0","0","585","0","347","0"
"1998-01-29 13:50:00.0","209","0","0","306","16","33","0"
"1998-01-29 14:00:00.0","210","0","0","281","17","12","0"
"1998-01-29 14:10:00.0","252","0","0","351","16","42","0"
"1998-01-29 14:20:00.0","210","0","0","294","24","12","0"
"1998-01-29 14:30:00.0","210","0","0","320","29","35","0"
"1998-01-29 14:40:00.0","208","0","0","313","29","52","0"
"1998-01-29 14:50:00.0","210","0","0","264","10","19","0"
"1998-01-29 15:00:00.0","182","0","32","332","1","91","0"
"1998-01-29 15:10:00.0","209","0","0","648","2","351","0"
"1998-01-29 15:20:00.0","208","0","0","538","0","179","0"
"1998-01-29 15:30:00.0","209","0","0","412","0","32","0"
"1998-01-29 15:40:00.0","209","0","0","304","0","14","0"
"1998-01-29 15:50:00.0","227","0","0","284","12","21","0"
"1998-01-29 16:00:00.0","237","0","0","317","13","39","0"
"1998-01-29 16:10:00.0","209","0","0","301","0","56","0"
"1998-01-29 16:20:00.0","212","0","0","250","0","0","0"
"1998-01-29 16:30:00.0","212","0","0","254","0","0","0"
"1998-01-29 16:40:00.0","213","0","0","254","0","0","0"
"1998-01-29 16:50:00.0","205","0","0","250","3","0","0"
"1998-01-29 17:00:00.0","24","0","0","94","31","0","0"
"1998-01-29 17:10:00.0","0","0","0","70","47","0","0"
"1998-01-29 17:20:00.0","0","0","0","71","47","0","0"
"1998-01-29 17:30:00.0","0","0","0","75","46","0","0"
"1998-01-29 17:40:00.0","0","0","0","119","69","0","0"
"1998-01-29 17:50:00.0","0","0","0","140","91","0","0"
"1998-01-29 18:00:00.0","0","0","0","131","108","0","0"
"1998-01-29 18:10:00.0","0","0","0","129","105","0","0"
"1998-01-29 18:20:00.0","0","0","0","155","132","0","0"
"1998-01-29 18:30:00.0","0","0","0","157","134","0","0"
"1998-01-29 18:40:00.0","0","0","0","158","134","0","0"
"1998-01-29 18:50:00.0","0","0","0","157","133","0","0"
"1998-01-29 19:00:00.0","0","0","0","201","134","0","0"
"1998-01-29 19:10:00.0","0","0","0","233","115","0","0"
"1998-01-29 19:20:00.0","0","0","0","192","71","0","0"
"1998-01-29 19:30:00.0","0","0","0","159","68","0","0"
"1998-01-29 19:40:00.0","0","0","0","285","36","0","0"
"1998-01-29 19:50:00.0","0","0","0","95","40","0","0"
"1998-01-29 20:00:00.0","0","0","0","87","49","0","0"
