"Time","Electric Cooker (hot plate+oven) (1,5kW)","Fridge freezer (Kitchen, 325l/75l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Vertical freezer (Storeroom, 145l)","Washing machine ()"
"1998-01-31 14:00:00.0","0","18","0","0","419","0","0","17","17"
"1998-01-31 14:10:00.0","0","9","0","0","407","0","0","16","12"
"1998-01-31 14:20:00.0","0","3","0","0","390","0","0","8","5"
"1998-01-31 14:30:00.0","0","4","0","0","386","0","4","0","0"
"1998-01-31 14:40:00.0","0","20","0","0","411","0","16","0","0"
"1998-01-31 14:50:00.0","0","20","0","0","412","0","15","0","0"
"1998-01-31 15:00:00.0","0","19","0","0","299","0","15","5","0"
"1998-01-31 15:10:00.0","0","20","0","0","74","1","14","18","0"
"1998-01-31 15:20:00.0","0","19","0","0","73","0","15","18","0"
"1998-01-31 15:30:00.0","0","18","0","0","72","0","15","17","0"
"1998-01-31 15:40:00.0","0","19","0","0","70","0","15","17","0"
"1998-01-31 15:50:00.0","0","19","0","0","69","0","14","17","0"
"1998-01-31 16:00:00.0","0","18","0","0","69","0","15","17","0"
"1998-01-31 16:10:00.0","0","19","0","0","60","0","15","5","0"
"1998-01-31 16:20:00.0","0","18","0","0","55","0","15","0","0"
"1998-01-31 16:30:00.0","0","11","0","0","50","0","14","0","0"
"1998-01-31 16:40:00.0","0","4","0","0","145","3","15","0","0"
"1998-01-31 16:50:00.0","0","3","0","0","410","9","15","8","0"
"1998-01-31 17:00:00.0","0","21","0","0","434","10","14","19","0"
"1998-01-31 17:10:00.0","0","20","0","0","431","9","15","17","0"
"1998-01-31 17:20:00.0","0","19","0","0","429","11","15","17","0"
"1998-01-31 17:30:00.0","0","18","0","0","424","9","13","17","0"
"1998-01-31 17:40:00.0","0","19","0","0","410","11","0","16","0"
"1998-01-31 17:50:00.0","0","18","0","0","421","24","0","16","0"
"1998-01-31 18:00:00.0","0","18","0","0","412","25","0","5","0"
"1998-01-31 18:10:00.0","0","18","0","0","419","26","10","0","0"
"1998-01-31 18:20:00.0","0","18","0","0","439","42","16","0","0"
"1998-01-31 18:30:00.0","0","18","0","0","441","42","16","0","0"
"1998-01-31 18:40:00.0","0","18","0","0","471","62","16","5","0"
"1998-01-31 18:50:00.0","0","18","0","0","494","74","15","19","0"
"1998-01-31 19:00:00.0","32","11","0","0","521","77","15","17","0"
"1998-01-31 19:10:00.0","299","4","0","0","776","68","15","17","0"
"1998-01-31 19:20:00.0","293","3","0","0","755","53","15","17","0"
"1998-01-31 19:30:00.0","233","17","0","0","700","47","15","17","0"
"1998-01-31 19:40:00.0","229","20","0","0","695","44","14","16","0"
"1998-01-31 19:50:00.0","226","20","0","0","665","34","4","3","0"
"1998-01-31 20:00:00.0","0","19","0","0","413","9","0","0","0"
"1998-01-31 20:10:00.0","0","19","0","0","412","10","0","0","0"
"1998-01-31 20:20:00.0","0","19","0","0","451","32","15","0","0"
"1998-01-31 20:30:00.0","0","19","0","0","482","57","15","9","0"
"1998-01-31 20:40:00.0","0","19","0","0","487","54","16","18","0"
"1998-01-31 20:50:00.0","0","18","0","0","477","44","15","18","0"
"1998-01-31 21:00:00.0","0","18","0","0","477","45","15","17","0"
"1998-01-31 21:10:00.0","0","19","0","0","473","44","15","17","0"
"1998-01-31 21:20:00.0","0","18","0","0","460","31","16","17","0"
"1998-01-31 21:30:00.0","0","18","0","0","452","26","15","16","0"
"1998-01-31 21:40:00.0","0","4","0","0","430","25","15","2","0"
"1998-01-31 21:50:00.0","0","4","0","0","427","26","14","0","0"
"1998-01-31 22:00:00.0","0","3","0","0","405","20","16","0","0"
"1998-01-31 22:10:00.0","0","3","0","0","369","3","15","0","0"
"1998-01-31 22:20:00.0","0","13","0","0","211","0","15","8","0"
"1998-01-31 22:30:00.0","0","21","0","0","56","0","15","18","0"
"1998-01-31 22:40:00.0","0","20","0","0","53","0","14","17","0"
"1998-01-31 22:50:00.0","0","19","0","0","53","0","15","17","0"
"1998-01-31 23:00:00.0","0","19","0","0","52","0","15","17","0"
"1998-01-31 23:10:00.0","0","19","0","0","51","0","15","16","0"
"1998-01-31 23:20:00.0","0","19","0","0","40","0","6","15","0"
"1998-01-31 23:30:00.0","0","18","0","0","23","0","0","0","0"
"1998-01-31 23:40:00.0","0","18","0","0","22","0","0","0","0"
"1998-01-31 23:50:00.0","0","18","0","0","22","0","0","0","0"
"1998-02-01 00:00:00.0","0","18","0","0","22","0","0","0","0"
"1998-02-01 00:10:00.0","0","18","0","0","32","0","0","11","0"
"1998-02-01 00:20:00.0","0","5","0","0","26","0","0","18","0"
"1998-02-01 00:30:00.0","0","3","0","0","25","0","0","18","0"
"1998-02-01 00:40:00.0","0","3","0","0","23","0","0","17","0"
"1998-02-01 00:50:00.0","0","4","0","0","24","0","0","17","0"
"1998-02-01 01:00:00.0","0","3","0","0","23","0","0","16","0"
"1998-02-01 01:10:00.0","0","4","0","0","20","0","0","12","0"
"1998-02-01 01:20:00.0","0","22","0","0","26","0","0","0","0"
"1998-02-01 01:30:00.0","0","20","0","0","25","0","0","0","0"
"1998-02-01 01:40:00.0","0","20","0","0","24","0","0","0","0"
"1998-02-01 01:50:00.0","0","20","0","0","23","0","0","0","0"
"1998-02-01 02:00:00.0","0","18","0","0","36","0","0","14","0"
"1998-02-01 02:10:00.0","0","19","0","0","37","0","0","18","0"
"1998-02-01 02:20:00.0","0","18","0","0","37","0","0","16","0"
"1998-02-01 02:30:00.0","0","18","0","0","36","0","0","17","0"
"1998-02-01 02:40:00.0","0","18","0","0","36","0","0","16","0"
"1998-02-01 02:50:00.0","0","18","0","0","35","0","0","16","0"
"1998-02-01 03:00:00.0","0","18","0","0","30","0","0","10","0"
"1998-02-01 03:10:00.0","0","18","0","0","22","0","0","0","0"
"1998-02-01 03:20:00.0","0","3","0","0","9","0","0","0","0"
"1998-02-01 03:30:00.0","0","3","0","0","10","0","0","0","0"
"1998-02-01 03:40:00.0","0","3","0","0","10","0","0","0","0"
"1998-02-01 03:50:00.0","0","3","0","0","25","0","0","18","0"
"1998-02-01 04:00:00.0","0","3","0","0","25","0","0","17","0"
"1998-02-01 04:10:00.0","0","4","0","0","24","0","0","18","0"
"1998-02-01 04:20:00.0","0","13","0","0","33","0","0","16","0"
"1998-02-01 04:30:00.0","0","21","0","0","38","0","0","17","0"
"1998-02-01 04:40:00.0","0","21","0","0","38","0","0","16","0"
"1998-02-01 04:50:00.0","0","20","0","0","31","0","0","8","0"
"1998-02-01 05:00:00.0","0","19","0","0","25","1","0","0","0"
"1998-02-01 05:10:00.0","0","19","0","0","41","2","14","0","0"
"1998-02-01 05:20:00.0","0","19","0","0","38","0","14","0","0"
"1998-02-01 05:30:00.0","0","18","0","0","40","0","15","1","0"
"1998-02-01 05:40:00.0","0","19","0","0","43","0","4","19","0"
"1998-02-01 05:50:00.0","0","18","0","0","37","0","0","18","0"
"1998-02-01 06:00:00.0","0","19","0","0","37","0","0","17","0"
"1998-02-01 06:10:00.0","0","18","0","0","37","0","0","18","0"
"1998-02-01 06:20:00.0","0","14","0","0","33","0","0","17","0"
"1998-02-01 06:30:00.0","0","3","0","0","24","0","0","16","0"
"1998-02-01 06:40:00.0","0","4","0","0","18","0","0","10","0"
"1998-02-01 06:50:00.0","0","3","0","0","11","0","0","0","0"
"1998-02-01 07:00:00.0","0","3","0","0","10","0","0","0","0"
"1998-02-01 07:10:00.0","0","4","0","0","10","0","0","0","0"
