"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-25 18:00:00.0","14","21","41","0","125","10","4","0"
"1998-01-25 18:10:00.0","14","10","41","0","122","6","8","0"
"1998-01-25 18:20:00.0","14","8","42","0","113","0","9","0"
"1998-01-25 18:30:00.0","15","21","41","0","124","0","8","0"
"1998-01-25 18:40:00.0","14","15","41","0","120","0","8","0"
"1998-01-25 18:50:00.0","1","4","41","7","118","14","8","0"
"1998-01-25 19:00:00.0","0","21","34","50","170","16","8","0"
"1998-01-25 19:10:00.0","0","20","0","0","83","17","8","0"
"1998-01-25 19:20:00.0","9","8","0","0","81","16","8","0"
"1998-01-25 19:30:00.0","15","11","0","0","83","9","8","0"
"1998-01-25 19:40:00.0","15","21","0","0","90","10","8","0"
"1998-01-25 19:50:00.0","15","14","0","0","86","11","8","0"
"1998-01-25 20:00:00.0","15","4","0","0","77","11","8","0"
"1998-01-25 20:10:00.0","14","21","0","0","102","21","8","0"
"1998-01-25 20:20:00.0","15","20","0","0","100","20","9","0"
"1998-01-25 20:30:00.0","14","4","0","0","86","20","8","0"
"1998-01-25 20:40:00.0","14","15","0","0","95","20","8","0"
"1998-01-25 20:50:00.0","14","20","0","0","99","19","9","0"
"1998-01-25 21:00:00.0","15","13","0","0","84","12","8","0"
"1998-01-25 21:10:00.0","13","4","0","0","75","10","8","0"
"1998-01-25 21:20:00.0","0","22","0","0","77","9","8","0"
"1998-01-25 21:30:00.0","0","18","0","0","67","10","8","0"
"1998-01-25 21:40:00.0","0","4","0","0","51","10","7","0"
"1998-01-25 21:50:00.0","12","16","0","0","84","19","9","0"
"1998-01-25 22:00:00.0","16","21","0","0","89","19","7","0"
"1998-01-25 22:10:00.0","15","7","0","0","70","11","9","0"
"1998-01-25 22:20:00.0","14","11","0","0","70","10","7","0"
"1998-01-25 22:30:00.0","15","21","0","0","79","9","8","0"
"1998-01-25 22:40:00.0","14","14","0","0","76","4","8","0"
"1998-01-25 22:50:00.0","15","3","0","0","55","0","8","0"
"1998-01-25 23:00:00.0","14","21","0","0","59","6","1","0"
"1998-01-25 23:10:00.0","15","19","0","0","45","0","0","0"
"1998-01-25 23:20:00.0","14","4","0","0","31","0","0","0"
"1998-01-25 23:30:00.0","14","17","0","0","43","0","0","0"
"1998-01-25 23:40:00.0","14","20","0","0","47","0","0","0"
"1998-01-25 23:50:00.0","8","8","0","0","28","0","0","0"
"1998-01-26 00:00:00.0","0","10","0","0","25","0","0","0"
"1998-01-26 00:10:00.0","0","21","0","0","34","0","0","0"
"1998-01-26 00:20:00.0","3","14","0","0","32","0","0","0"
"1998-01-26 00:30:00.0","16","4","0","0","33","0","0","0"
"1998-01-26 00:40:00.0","15","21","0","0","48","0","0","0"
"1998-01-26 00:50:00.0","15","20","0","0","47","0","0","0"
"1998-01-26 01:00:00.0","15","3","0","0","32","0","0","0"
"1998-01-26 01:10:00.0","14","16","0","0","42","0","0","0"
"1998-01-26 01:20:00.0","15","20","0","0","47","0","0","0"
"1998-01-26 01:30:00.0","14","9","0","0","36","0","0","0"
"1998-01-26 01:40:00.0","14","8","0","0","36","0","0","0"
"1998-01-26 01:50:00.0","14","21","0","0","47","0","0","0"
"1998-01-26 02:00:00.0","15","15","0","0","42","0","0","0"
"1998-01-26 02:10:00.0","14","4","0","0","32","0","0","0"
"1998-01-26 02:20:00.0","14","19","0","0","46","0","0","0"
"1998-01-26 02:30:00.0","4","21","0","0","38","0","0","0"
"1998-01-26 02:40:00.0","0","4","0","0","19","0","0","0"
"1998-01-26 02:50:00.0","0","14","0","0","28","0","0","0"
"1998-01-26 03:00:00.0","7","20","0","0","41","0","0","0"
"1998-01-26 03:10:00.0","15","10","0","0","38","0","0","0"
"1998-01-26 03:20:00.0","15","8","0","0","37","0","0","0"
"1998-01-26 03:30:00.0","15","21","0","0","47","0","0","0"
"1998-01-26 03:40:00.0","15","16","0","0","43","0","0","0"
"1998-01-26 03:50:00.0","15","3","0","0","32","0","0","0"
"1998-01-26 04:00:00.0","14","20","0","0","46","0","0","0"
"1998-01-26 04:10:00.0","14","20","0","0","48","0","0","0"
"1998-01-26 04:20:00.0","15","5","0","0","32","0","0","0"
"1998-01-26 04:30:00.0","14","13","0","0","41","0","0","0"
"1998-01-26 04:40:00.0","14","20","0","0","47","0","0","0"
"1998-01-26 04:50:00.0","14","11","0","0","39","0","0","0"
"1998-01-26 05:00:00.0","14","7","0","0","35","0","0","0"
"1998-01-26 05:10:00.0","9","21","0","0","42","0","0","0"
"1998-01-26 05:20:00.0","0","17","0","0","31","0","0","0"
"1998-01-26 05:30:00.0","0","3","0","0","19","0","0","0"
"1998-01-26 05:40:00.0","1","19","0","0","34","0","0","0"
"1998-01-26 05:50:00.0","16","20","0","0","48","0","0","0"
"1998-01-26 06:00:00.0","16","6","0","0","35","0","0","0"
"1998-01-26 06:10:00.0","14","13","0","0","45","4","0","0"
"1998-01-26 06:20:00.0","15","20","0","0","58","10","0","0"
"1998-01-26 06:30:00.0","15","13","0","0","55","14","0","0"
"1998-01-26 06:40:00.0","14","6","0","0","62","20","0","0"
"1998-01-26 06:50:00.0","15","21","0","0","80","21","0","0"
"1998-01-26 07:00:00.0","14","21","0","0","81","22","0","0"
"1998-01-26 07:10:00.0","15","5","0","0","78","34","0","0"
"1998-01-26 07:20:00.0","14","13","0","0","74","24","0","0"
"1998-01-26 07:30:00.0","14","21","0","0","78","20","0","0"
"1998-01-26 07:40:00.0","14","18","0","0","55","10","0","0"
"1998-01-26 07:50:00.0","14","3","0","0","31","0","0","0"
"1998-01-26 08:00:00.0","12","17","0","0","41","0","0","0"
"1998-01-26 08:10:00.0","0","20","0","0","35","0","0","0"
"1998-01-26 08:20:00.0","0","13","0","0","28","0","0","0"
"1998-01-26 08:30:00.0","0","4","0","0","19","0","0","0"
"1998-01-26 08:40:00.0","13","20","0","0","47","0","0","0"
"1998-01-26 08:50:00.0","16","21","0","0","48","0","0","0"
"1998-01-26 09:00:00.0","15","8","0","0","37","0","0","0"
"1998-01-26 09:10:00.0","14","11","0","0","39","0","0","0"
"1998-01-26 09:20:00.0","15","21","0","0","48","0","0","0"
"1998-01-26 09:30:00.0","14","16","0","0","43","0","0","0"
"1998-01-26 09:40:00.0","15","4","0","0","30","0","0","0"
"1998-01-26 09:50:00.0","14","17","0","0","45","0","0","0"
"1998-01-26 10:00:00.0","14","22","0","0","47","0","0","0"
"1998-01-26 10:10:00.0","15","15","0","0","43","0","0","0"
"1998-01-26 10:20:00.0","14","3","0","0","32","0","0","0"
